timestamp_iso,round_ts,round_clock,event,arb_id,contracts,cost_usd,profit_pct_at_event,k_yes_bid,k_yes_ask,p_yes_ask,p_no_ask,entry_arb_id,entry_cost_usd,entry_contracts,delay_seconds,min_contracts,pair_total_cost,pair_guaranteed_payout,pair_pnl_usd,pair_pnl_pct_of_budget
2026-04-25T13:31:59.527,1777134600,01:59,ENTRY,1,7.1778,7.0034,2.4917,0.51,0.52,0.58,0.43,,,,,,,,,
2026-04-25T13:35:20.143,1777134600,05:20,HEDGE_OK,2,7.1702,7.0035,2.3808,0.53,0.54,0.48,0.53,1,7.0034,7.1778,201,7.1702,14.0069,14.3403,0.3334,4.7635
2026-04-25T13:45:37.669,1777135500,00:37,ENTRY,2,7.7243,7.0351,9.8464,0.6,0.61,0.48,0.53,,,,,,,,,
2026-04-25T14:00:00.199,1777135500,15:00,NAKED_AT_CLOSE,2,7.7243,7.0351,9.8464,0.6,0.61,0.48,0.53,,,,,,,,,
2026-04-25T14:01:09.283,1777136400,01:09,ENTRY,2,7.4857,7.0038,6.8854,0.49,0.52,0.4,0.61,,,,,,,,,
2026-04-25T14:02:42.392,1777136400,02:42,HEDGE_OK,1,7.1751,7.0446,1.8639,0.27,0.28,0.34,0.67,2,7.0038,7.4857,93,7.1751,14.0484,14.3502,0.3018,4.3118
2026-04-25T14:15:44.722,1777137300,00:44,ENTRY,1,7.3128,6.994,4.5545,0.44,0.45,0.53,0.48,,,,,,,,,
2026-04-25T14:22:17.017,1777137300,07:17,HEDGE_OK,2,7.3415,7.0032,4.8331,0.44,0.55,0.37,0.66,1,6.994,7.3128,393,7.3128,13.9972,14.6256,0.6284,8.9773
2026-04-25T14:31:45.346,1777138200,01:45,ENTRY,2,7.1649,7.0036,2.3041,0.57,0.58,0.52,0.49,,,,,,,,,
2026-04-25T14:32:02.197,1777138200,02:02,HEDGE_OK,1,7.1746,7.0034,2.4457,0.49,0.5,0.56,0.45,2,7.0036,7.1649,17,7.1649,14.007,14.3298,0.3227,4.6107
2026-04-25T14:45:38.334,1777139100,00:38,ENTRY,1,7.5589,7.0037,7.9322,0.37,0.38,0.49,0.52,,,,,,,,,
2026-04-25T14:53:23.874,1777139100,08:23,ENTRY,1,7.356,7.0004,5.0796,0.044,0.048,0.12,0.89,,,,,,,,,
2026-04-25T15:00:00.078,1777139100,15:00,NAKED_AT_CLOSE,1,7.5589,7.0037,7.9322,0.37,0.38,0.49,0.52,,,,,,,,,
2026-04-25T15:00:37.865,1777140000,00:37,ENTRY,1,7.2387,6.9939,3.4967,0.47,0.48,0.55,0.46,,,,,,,,,
2026-04-25T15:05:05.319,1777140000,05:05,HEDGE_OK,2,7.1371,7.0017,1.9344,0.81,0.83,0.77,0.24,1,6.9939,7.2387,268,7.1371,13.9956,14.2742,0.2786,3.98
2026-04-25T15:16:58.206,1777140900,01:58,ENTRY,1,7.1811,7.0057,2.5059,0.53,0.54,0.61,0.41,,,,,,,,,
2026-04-25T15:22:11.195,1777140900,07:11,HEDGE_OK,2,7.1588,6.9937,2.3588,0.63,0.64,0.58,0.43,1,7.0057,7.1811,313,7.1588,13.9994,14.3176,0.3183,4.5466
2026-04-25T15:30:22.460,1777141800,00:22,ENTRY,2,7.1649,7.0036,2.3041,0.57,0.58,0.52,0.49,,,,,,,,,
2026-04-25T15:45:00.143,1777141800,15:00,NAKED_AT_CLOSE,2,7.1649,7.0036,2.3041,0.57,0.58,0.52,0.49,,,,,,,,,
2026-04-25T15:45:22.483,1777142700,00:22,ENTRY,1,7.6686,7.0035,9.5014,0.56,0.57,0.69,0.32,,,,,,,,,
2026-04-25T15:47:44.878,1777142700,02:44,HEDGE_OK,2,7.2416,7.0036,3.4007,0.57,0.58,0.51,0.57,1,7.0035,7.6686,142,7.2416,14.0071,14.4833,0.4762,6.8025
2026-04-25T16:00:22.611,1777143600,00:22,ENTRY,1,7.5628,7.0039,7.9841,0.46,0.47,0.58,0.43,,,,,,,,,
2026-04-25T16:12:07.841,1777143600,12:07,HEDGE_OK,2,8.2083,7.004,17.2036,0.49,0.83,0.32,0.69,1,7.0039,7.5628,705,7.5628,14.0079,15.1255,1.1176,15.9662
2026-04-25T16:17:53.919,1777144500,02:53,ENTRY,2,7.1702,7.0035,2.3808,0.53,0.59,0.48,0.53,,,,,,,,,
2026-04-25T16:20:13.903,1777144500,05:13,HEDGE_OK,1,7.1811,7.0072,2.484,0.52,0.54,0.61,0.41,2,7.0035,7.1702,140,7.1702,14.0107,14.3403,0.3296,4.7087
